track_name,price,rating_count_tot,user_rating,prime_genre
Wa Kingyo - Goldfish Pond,1.0,626,4.0,Entertainment
Monkey Preschool Lunchbox,1.0,9286,4.0,Games
Yahoo Fantasy Sports,0.0,190670,3.5,Sports
Gaia GPS Classic,1.0,2429,4.5,Navigation
iLoan Calc (Loan calculator),1.0,0,0.0,Finance
Geocaching®,0.0,12811,3.5,Navigation
Camera+,1.0,32338,4.0,Photo & Video
Alter Ego,1.0,262,4.0,Games
Parking Mania,1.0,9657,4.5,Games
Sudoku⁺,1.0,18332,4.5,Games
Period Tracker Lite,0.0,53620,4.0,Health & Fitness
Camera Plus: For Macro Photos & Remote Photography,1.0,38533,2.5,Photo & Video
The perfect Egg timer,1.0,40,3.5,Food & Drink
Letter Quiz - alphabet tracing for kids,1.0,472,4.0,Games
Starbucks,0.0,303856,4.5,Food & Drink
央视影音-海量央视内容高清直播,0.0,2070,2.5,Sports
Bloons TD,1.0,7941,4.0,Games
Weight Watchers,0.0,136833,3.5,Health & Fitness
"CNN: Breaking US & World News, Live Video",0.0,112886,3.5,News
Gilt,0.0,26353,3.5,Shopping
TRUTH or DARE!!! - FREE,0.0,171055,3.0,Entertainment
Canabalt,1.0,4540,4.0,Games
Alipay - Makes Life Easy,0.0,1926,3.0,Lifestyle
Scanner911 Pro,1.0,14345,4.0,News
Daily Teachings,1.0,1340,4.5,Lifestyle
Scanner Pro - PDF document scanner app with OCR,1.0,31912,4.5,Business
Twitter,0.0,354058,3.5,News
"Trainline UK: Live Train Times, Tickets & Planner",0.0,248,4.0,Travel
CBS News - Watch Free Live Breaking News,0.0,11691,3.5,News
iOvilus,1.0,381,3.0,Entertainment
The Impossible Quiz!,0.0,18884,4.0,Entertainment
WolframAlpha,1.0,7410,4.0,Reference
Catan,1.0,15175,4.0,Games
ScanBizCards Business Card Reader,1.0,3166,4.0,Business
"Walgreens – Pharmacy, Photo, Coupons and Shopping",0.0,88885,4.5,Shopping
King of Dragon Pass,1.0,882,5.0,Games
Stylebook,1.0,1729,4.0,Lifestyle
NBA,0.0,43682,3.5,Sports
Blower,1.0,861,2.0,Entertainment
My Cycles Period and Ovulation Tracker,0.0,7469,3.5,Health & Fitness
"Kmart – Download Now, Shop Online & Pick Up Today!",0.0,4186,3.5,Shopping
优酷视频,0.0,4885,3.5,Entertainment
DOOM Classic,1.0,3970,4.0,Games
SoundCloud - Music & Audio,0.0,135744,4.0,Music
imo video calls and chat,0.0,18841,4.0,Social Networking
Plane Finder - Flight Tracker,1.0,1438,4.0,Navigation
"Runtastic Running, Jogging and Walking Tracker",0.0,10298,4.5,Health & Fitness
iFiles,1.0,1842,3.5,Productivity
TeachMe: Kindergarten,1.0,2548,4.0,Education
Moorhuhn Deluxe - Crazy Chicken,1.0,319,3.0,Games
Victoria’s Secret – The Sexiest Bras & Lingerie,0.0,34507,3.5,Shopping
MONOPOLY Game,1.0,26482,3.5,Games
n-tv Nachrichten,0.0,273,3.0,News
Shazam Encore,1.0,8331,4.0,Music
Harry Potter: Spells,1.0,17023,4.0,Games
First Words Deluxe,1.0,1101,4.0,Games
Clay Hunt,1.0,1193,4.0,Games
Dream Team - be your own fantasy football manager,0.0,35,2.5,Sports
Jet Car Stunts,1.0,4088,4.0,Games
Call of Duty: Zombies,1.0,63943,4.0,Games
"Walmart: Free 2-Day Shipping,* Easy Store Shopping",0.0,70286,3.0,Shopping
AirWatch Agent,0.0,1150,2.5,Business
Shop Savvy Barcode Scanner - Price Compare & Deals,0.0,54630,2.5,Shopping
Voice Changer Plus,0.0,98777,3.0,Entertainment
CatPaint,1.0,649,4.0,Photo & Video
Redbox,0.0,60236,3.0,Entertainment
クックパッド - No.1料理レシピ検索アプリ,0.0,115,3.5,Food & Drink
Trenches,1.0,26732,4.0,Games
The Christmas List,1.0,2722,4.5,Shopping
Macy's,0.0,11013,3.5,Shopping
Calorie Counter & Diet Tracker by MyFitnessPal,0.0,507706,4.5,Health & Fitness
BlaBlaCar - Trusted Carpooling,0.0,397,4.5,Travel
Refills Calendar - Scheduler - Note,1.0,196,4.0,Productivity
5-0 Radio Pro Police Scanner (Extra Feeds),1.0,24553,4.0,News
Hipstamatic,1.0,12557,3.5,Photo & Video
Sing Karaoke Songs Unlimited with StarMaker,0.0,26227,4.0,Music
TurboScan™ Pro - document & receipt scanner: scan multiple pages and photos to PDF,1.0,28388,5.0,Business
Positivity with Andrew Johnson,1.0,282,4.0,Health & Fitness
Rat On A Scooter XL,1.0,19296,4.0,Games
IMDb Movies & TV - Trailers and Showtimes,0.0,183425,4.5,Entertainment
Angry Birds,0.0,824451,4.5,Games
DB Navigator,0.0,512,3.5,Travel
Video Calls with Santa,1.0,315,3.5,Lifestyle
Voyages-sncf.com : book train and bus tickets,0.0,268,3.5,Travel
The Font Game,1.0,438,4.5,Games
ImmobilienScout24: Real Estate Search in Germany,0.0,187,3.5,Navigation
